objectid,topoid,poigroup,poitype,poiname,poilabel,urbanity,lon,lat,sa2_code,sa2_name
154022,518439452,3,Park,BOTANY BAY NATIONAL PARK,BOTANY BAY NATIONAL PARK,S,151.2508413685394,-33.99322970398919,118021652,Malabar - La Perouse
154024,518439461,3,Park,CALEY STREET RESERVE,CALEY STREET RESERVE,U,151.2390255338583,-33.96369128398001,118021653,Matraville - Chifley
154032,518439533,3,Park,GUBBUTEH ROAD RESERVE,GUBBUTEH ROAD RESERVE,U,151.24769278784157,-33.97751488811489,118021652,Malabar - La Perouse
154034,518439541,3,Park,JENNIFER STREET RESERVE,JENNIFER STREET RESERVE,U,151.24103795682575,-33.984638303029975,118021652,Malabar - La Perouse
154035,518439562,3,Park,LAWSON STREET RESERVE,LAWSON STREET RESERVE,U,151.24099362047485,-33.95979997601542,118021653,Matraville - Chifley
154042,500322052,3,Park,FRENCHMANS BAY RESERVE,FRENCHMANS BAY RESERVE,S,151.23158820105965,-33.98369039850157,118021652,Malabar - La Perouse
154050,504379511,3,Park,BLIGH STREET RESERVE,BLIGH STREET RESERVE,U,151.24351951776384,-33.96382663136385,118021653,Matraville - Chifley
154051,504379556,3,Golf Course,CULLENS GOLF DRIVING RANGE,CULLENS GOLF DRIVING RANGE,S,151.24306929292322,-33.985197171782964,118021652,Malabar - La Perouse
154057,504772853,3,Park,BURKE RESERVE,BURKE RESERVE,U,151.24491425914195,-33.96379302569123,118021653,Matraville - Chifley
154058,504772854,3,Park,BOB CLARKE MEMORIAL GROVE,BOB CLARKE MEMORIAL GROVE,U,151.2458374505729,-33.96442242223376,118021653,Matraville - Chifley
154062,518400173,3,Sports Field,BUNNERONG EQUESTRIAN PARK,BUNNERONG EQUESTRIAN PARK,U,151.23273282002162,-33.96643636838314,118021653,Matraville - Chifley
154446,518440513,1,Post Office,MATRAVILLE POST OFFICE,MATRAVILLE POST OFFICE,U,151.2312674153666,-33.95761044307111,118021653,Matraville - Chifley
164139,504379544,1,Gaol,LONG BAY CORRECTIONAL COMPLEX,LONG BAY CORRECTIONAL COMPLEX,U,151.2461478912671,-33.96972924147446,118021652,Malabar - La Perouse
164161,517496348,1,Gaol,METROPOLITAN SPECIAL PROGRAMS CENTRE,METROPOLITAN SPECIAL PROGRAMS CENTRE,U,151.2448193395557,-33.9686739479495,118021652,Malabar - La Perouse
164166,518402172,1,General Hospital,LONG BAY HOSPITAL,LONG BAY HOSPITAL,U,151.24454684369917,-33.97173602557975,118021652,Malabar - La Perouse
164168,518417457,1,Gaol,LONG BAY HOSPITAL CORRECTIONAL CENTRE,LONG BAY HOSPITAL CORRECTIONAL CENTRE,U,151.24351167457306,-33.97116589869651,118021652,Malabar - La Perouse
170319,504379462,1,Place Of Worship,EAST SYDNEY COMMUNITY CHURCH,EAST SYDNEY COMMUNITY CHURCH,U,151.23108453274787,-33.96273163615961,118021653,Matraville - Chifley
170325,504379518,1,Place Of Worship,MATRAVILLE JEHOVAHS WITNESS,MATRAVILLE JEHOVAHS WITNESS,U,151.23203926852,-33.96462420135275,118021653,Matraville - Chifley
170333,504772847,1,Place Of Worship,OUR LADY OF GOOD COUNSEL,OUR LADY OF GOOD COUNSEL,U,151.23472061837055,-33.979826546178835,118021652,Malabar - La Perouse
170334,518477562,1,Place Of Worship,ST ANDREWS CATHOLIC CHURCH,ST ANDREWS CATHOLIC CHURCH,U,151.24718923631073,-33.96388862654942,118021652,Malabar - La Perouse
2306,500267326,1,Cemetery,RANDWICK CEMETERY,RANDWICK CEMETERY,U,151.25493887470608,-33.92949622942504,118021654,South Coogee
27195,504395207,3,Park,EMILY MCCARTHY PARK,EMILY MCCARTHY PARK,U,151.25380938696676,-33.92977092125383,118021654,South Coogee
27196,504395208,3,Park,ELPHINSTONE ROAD RESERVE,ELPHINSTONE ROAD RESERVE,U,151.2515247816547,-33.929108653794536,118021654,South Coogee
147428,518400183,3,Park,BLOOMFIELD STREET GARDEN,BLOOMFIELD STREET GARDEN,U,151.25888905896284,-33.9304356812195,118021654,South Coogee
147435,518400190,3,Park,WISDOM STREET RESERVE,WISDOM STREET RESERVE,U,151.25868534351426,-33.931345937436596,118021654,South Coogee
147439,518400194,3,Park,GARNET STREET ROAD RESERVE,GARNET STREET ROAD RESERVE,U,151.2576833141373,-33.929289250884594,118021654,South Coogee
163752,518400182,3,Park,JACARANDA PLAYGROUND,JACARANDA PLAYGROUND,U,151.25288057477707,-33.93182994770384,118021654,South Coogee
